question_id,mode,prompt,choice_a,choice_b,choice_c,choice_d,answer,explanation,wrong_choice_notes,tags,difficulty
sample-001,慣用色名,「紅梅色」に近い色名を選んでください。,淡い紫みの赤,明るい黄緑,濃い青紫,灰みの青,淡い紫みの赤,紅梅色は紅梅の花のような淡い紫みの赤を指します。,黄緑・青紫・灰みの青は色相や印象が大きく異なります。,赤系|春|和色,1
sample-002,慣用色名,「浅葱色」に近い色名を選んでください。,明るい緑みの青,鮮やかな赤,暗い黄,白に近い桃色,明るい緑みの青,浅葱色は薄い葱の葉に由来する緑みの青です。,赤・黄・桃色は浅葱色の青緑系とは異なります。,青緑系|和色,2
sample-003,慣用色名,「利休鼠」に近い色名を選んでください。,緑みの灰色,鮮やかな橙,濃い赤紫,明るい黄,緑みの灰色,利休鼠は茶人の利休にちなむ、緑みを帯びた落ち着いた鼠色です。,橙・赤紫・黄は灰みの落ち着きがありません。,灰色系|茶道|和色,3
kanyou_001,plant_dye_to_name,A案の配色には、南アジア原産のマメ科植物の心材を煎じ、染料として用いた渋い紅色を加えたい。最もふさわしいJIS物体色の慣用色名を選びなさい。,蘇芳（すおう）,茜（あかね）色,弁柄（べんがら）色,えんじ,蘇芳（すおう）,蘇芳はスオウの心材を染料とする赤系の色名で、心材由来という手がかりが決め手です。,茜色はアカネの根の植物染料。弁柄色は酸化鉄系の赤土顔料。えんじは燕脂に由来する深い赤。,和色名|植物染料|赤系|過去問風2025|重点,3
kanyou_002,animal_dye_to_name,B案の配色には、カイガラムシから得られる赤色染料にちなむ鮮やかな深紅を加えたい。最もふさわしい慣用色名を選びなさい。,カーマイン,バーミリオン,スカーレット,コチニールレッド,カーマイン,カーマインはコチニールカイガラムシ由来の深紅色です。虫由来の赤色染料という条件に最も合います。,バーミリオンは硫化水銀顔料。スカーレットも虫由来の染色と関係しますが高級織物名としての色名。コチニールレッドは虫名そのものに近く、JIS慣用色名の設問ではカーマインとの識別が重要。,外来色名|動物性染料|赤系|重点|過去問風2025,3
kanyou_003,liquor_to_name,酒類を扱う催事の案内カードに、透明感のある橙褐色を加えたい。宝石化した樹脂の色に由来し、酒の色の形容にも用いられやすい色名を選びなさい。,こはく色,山吹色,芥子（からし）色,金茶,こはく色,こはく色は琥珀という樹脂化石の透明感ある橙褐色に由来し、酒類の色の形容にも適しています。,山吹色は山吹の花。芥子色は練り辛子。金茶は金色がかった茶色で、宝石化した樹脂ではない。,和色名|酒|鉱物・宝石|黄赤系|過去問風2023,2
kanyou_004,liquor_to_name,B案の配色には、フランスの修道院でつくられたリキュールの色にちなむ黄緑系の外来色名を加えたい。最もふさわしいものを選びなさい。,シャトルーズグリーン,ミントグリーン,ボトルグリーン,オリーブグリーン,シャトルーズグリーン,シャトルーズグリーンはシャルトルーズ修道院のリキュールに由来する黄緑色です。,ミントグリーンはハーブの葉やハッカ系。ボトルグリーンは酒瓶の濃緑。オリーブグリーンはオリーブ由来。,外来色名|酒|黄緑系|重点|過去問風2023,2
kanyou_005,flower_to_name,ノベルティの配色には、春に咲く小型の多年草の花を思わせる鮮やかな紫を使いたい。最もふさわしい和色名を選びなさい。,菫（すみれ）色,ききょう色,藤色,あやめ色,菫（すみれ）色,菫色はスミレの花のような鮮やかな紫にちなむ伝統色です。,ききょう色は桔梗の花。藤色は藤の淡紫。あやめ色はアヤメの明るい赤紫。,和色名|紫系|花由来|重点|過去問風2024,2
kanyou_006,flower_to_name,旧暦の初秋を感じさせる花に由来し、秋の七草の一つにも数えられる鮮やかな紫の和色名を選びなさい。,ききょう色,菫（すみれ）色,かきつばた色,藤紫,ききょう色,ききょう色は桔梗の花のような鮮やかな紫で、桔梗は秋の七草の一つです。,菫色は春のスミレ。かきつばた色は湿地の杜若。藤紫は藤色に紫みを加えた色。,和色名|紫系|花由来|重点|過去問風2024,3
kanyou_007,flower_to_name,和風の包装案に、湿地に咲く杜若の花を思わせる鮮やかな青紫を加えたい。最もふさわしい慣用色名を選びなさい。,かきつばた色,しょうぶ色,あやめ色,藤納戸,かきつばた色,かきつばた色は杜若の花の鮮やかな青紫に由来します。,しょうぶ色は花菖蒲。あやめ色はアヤメでより赤紫寄り。藤納戸は藤がかった納戸色。,和色名|紫系|花由来|青紫|重点,3
kanyou_008,flower_to_name,初夏の花をテーマにした配色で、アヤメの花のような明るい赤紫を表す和色名を使いたい。最もふさわしいものを選びなさい。,あやめ色,しょうぶ色,かきつばた色,牡丹（ぼたん）色,あやめ色,あやめ色はアヤメの花のような明るい赤紫に由来します。,しょうぶ色は花菖蒲系の青紫。かきつばた色は杜若の青紫。牡丹色は牡丹の鮮やかな赤紫。,和色名|紫系|花由来|赤紫|重点,2
kanyou_009,flower_to_name,春の藤棚を連想させる、淡く優美な紫を配色に加えたい。最もふさわしい和色名を選びなさい。,藤色,藤納戸,藤紫,ウィスタリア,藤色,藤色は藤の花の淡い紫色に由来する和色名です。,藤納戸は納戸色に藤みを帯びた灰紫。藤紫は藤色より紫みが強い。ウィスタリアは外来色名で藤に由来する鮮やかな青紫。,和色名|紫系|花由来|重点,2
kanyou_010,flower_to_name,外来色名から、藤の花を意味する英語に由来するあざやかな青紫を選びなさい。,ウィスタリア,バイオレット,ラベンダー,ライラック,ウィスタリア,ウィスタリアは藤の花を表す外来色名で、あざやかな青紫を指します。,バイオレットはスミレ。ラベンダーはラベンダーの花。ライラックはライラックの花。,外来色名|紫系|花由来|重点,2
